CAS,chemical_name,resident_noncancer,resident_cancer,urban_gardener_noncancer,urban_gardener_cancer,farmer_noncancer,farmer_cancer
117-81-7,Bis(2-ethylhexyl)phthalate (DEHP),0,0,0,0,0,0
542-88-1,Bis(chloromethyl)ether,0,0,0,0,0,0
7440-42-8,Boron And Borates Only,0,0,0,0,0,0
10294-34-5,Boron Trichloride,0,0,0,0,0,0
7637-07-2,Boron Trifluoride,0,0,0,0,0,0
108-86-1,Bromobenzene,0,0,0,0,0,0
74-97-5,Bromochloromethane,0,0,0,0,0,0
75-27-4,Bromodichloromethane,0,0,0,0,0,0
75-25-2,Bromoform,0,0,0,0,0,0
74-83-9,Bromomethane,0,0,0,0,0,0
106-94-5,"Bromopropane, 1-",0,0,0,0,0,0
106-99-0,"Butadiene, 1,3-",0,0,0,0,0,0
78-92-2,"Butyl alcohol, sec-",0,0,0,0,0,0
111-76-2,Butyl Cellosolve (ethylene glycol monobutyl ether),0,0,0,0,0,0
25013-16-5,Butylated hydroxyanisole,0,0,0,0,0,0
3068-88-0,"Butyrolactone, beta-",0,0,0,0,0,0
7440-43-9,Cadmium,0,0,0,0,0,0
CADMIUM-COMPS,Cadmium Compounds,0,0,0,0,0,0
13765-19-0,Calcium Chromate,0,0,0,0,0,0.02
105-60-2,Caprolactum,0,0,0,0,0,0
75-15-0,Carbon disulfide,0,0,0,0,0,0
630-08-0,Carbon Monoxide,0,0,0,0,0,0
56-23-5,Carbon tetrachloride,0,0,0,0,0,0
463-58-1,Carbonyl sulfide,0,0,0,0,0,0
111-15-9,Cellosolve Acetate (ethylene glycol monoethyl ether acetate),0,0,0,0,0,0
1306-38-3,Cerium Oxide and Cerium Compounds,0,0,0,0,0,0
12789-03-6,Chlordane or (57-74-9),1,1,7,9,7,9
115-28-6,Chlorendic acid,0,0,0,0,0,0
108171-26-2,"Chlorinated Paraffins (C12, 60% Chlorine)",0,0,0,0,0,0
7782-50-5,Chlorine,0,0,0,0,0,0
10049-04-4,Chlorine Oxide (CLO2),0,0,0,0,0,0
75-68-3,"Chloro-1,1-difluoroethane, 1- (HCFC-142b)",0,0,0,0,0,0
563-47-3,"Chloro-2-methylpropene, 3-",0,0,0,0,0,0
95-83-0,"Chloro-o-phenylenediamine, 4-",0,0,0,0,0,0
95-69-2,"Chloro-o-toluidine, p-",0,0,0,0,0,0
532-27-4,"Chloroacetophenone, 2-",0,0,0,0,0,0
108-90-7,Chlorobenzene,0,0,0,0,0,0
98-56-6,"Chlorobenzotrifluoride, 4-",0,0,0,0,0,0
75-45-6,Chlorodifluoromethane (HCFC-22),0,0,0,0,0,0
67-66-3,Chloroform,0,0,0,0,0,0
107-30-2,Chloromethyl Methyl Ether,0,0,0,0,0,0
88-73-3,"Chloronitrobenzene, o-",0,0,0,0,0,0
100-00-5,"Chloronitrobenzene, p-",0,0,0,0,0,0
76-06-2,Chloropicrin,0,0,0,0,0,0
126-99-8,Chloroprene,0,0,0,0,0,0
1333-82-0,Chromic acid mists and dissolved Cr(VI) aerosols,0,0,0,0,0,0.02
7440-47-3,Chromium,0,0,0,0,0,0.02
18540-29-9,Chromium (Hexavalent),0,0,0,0,0,0.02
18540-29-9-pm,Chromium (Hexavalent) - Particulate,0,0,0,0,0,0.02
CHROM-COMPS,Chromium Compounds,0,0,0,0,0,0.02
16065-83-1,Chromium(III) Compounds,0,0,0,0,0,0
218-01-9,Chrysene (Benzo(a)phenanthrene),0,0.53,0,0.7,0,7.9
87-29-6,Cinnamyl anthranilate,0,0,0,0,0,0
10061-01-5,"cis-1,3-Dichloropropene",0,0,0,0,0,0
8007-45-2,Coal Tar,0,0,0,0,0,0
7440-48-4,Cobalt,0,0,0,0,0,0
0-00-7,Coke Oven Emissions,0,0,0,0,0,0
7440-50-8,Copper,0,0,0,0,0,0
00-03-1,Copper Compounds,0,0,0,0,0,0
120-71-8,"Cresidine, p-",0,0,0,0,0,0
108-39-4,"Cresol, m-",0,0,0,0,0,0
95-48-7,"Cresol, o-",0,0,0,0,0,0
106-44-5,"Cresol, p-",0,0,0,0,0,0
1319-77-3,Cresols/Cresylic acid (isomers and mixture),0,0,0,0,0,0
98-82-8,Cumene,0,0,0,0,0,0
135-20-6,Cupferron,0,0,0,0,0,0
57-12-5,"Cyanide (Cyanide ion, Inorganic cyanides, Isocyanide)",0,0,0,0,0,0
CYANIDE-COMPS,Cyanide Compounds,0,0,0,0,0,0
110-82-7,Cyclohexane,0,0,0,0,0,0
108-94-1,Cyclohexanone,0,0,0,0,0,0
27208-37-3,"Cyclopenta[c,d]pyrene",0,0,0,0,0,0
50-29-3,DDT,8,2,380,200,380,200
615-05-4,"Diaminoanisole, 2,4-",0,0,0,0,0,0
101-80-4,"Diaminodiphenyl ether, 4,4-",0,0,0,0,0,0
103-33-3,"Diazene, Diphenyl",0,0,0,0,0,0
226-36-8,"Dibenz(a,h)acridine",0,20,0,30,0,12480
224-42-0,"Dibenz(a,j)acridine",0,20,0,30,0,12480
53-70-3,"Dibenz[a,h]anthracene",0,20,0,20,0,8520
192-65-4,"Dibenzo(a,e)pyrene",0,7,0,10,0,2300
189-64-0,"Dibenzo(a,h)pyrene",0,0.17,0,0.3,0,50
191-30-0,"Dibenzo(a,l)pyrene",0,50,0,83,0,17410
194-59-2,"Dibenzo(c,g)carbazole, 7H-",0,0,0,0,0,0
5385-75-1,"Dibenzo[a,e]fluoranthene",0,0,0,0,0,0
189-55-9,"Dibenzo[a,i]pyrene",0,0.11,0,0.2,0,30
96-12-8,"Dibromo-3-chloropropane, 1,2-",0,0,0,0,0,0
764-41-0,"Dichloro-2-butene, 1,4-",0,0,0,0,0,0
1476-11-5,"Dichloro-2-butene, cis-1,4-",0,0,0,0,0,0
106-46-7,"Dichlorobenzene(p), 1,4-",0,0,0,0,0,0
25321-22-6,Dichlorobenzenes,0,0,0,0,0,0
91-94-1,"Dichlorobenzidene, 3,3-",0,0,0,0,0,0
75-71-8,Dichlorodifluoromethane (CFC-12),0,0,0,0,0,0
75-35-4,"Dichloroethylene (1,1-) (Vinylidene chloride)",0,0,0,0,0,0
156-60-5,"Dichloroethylene, trans-1,2-",0,0,0,0,0,0
542-75-6,"Dichloropropene, 1,3-",0,0,0,0,0,0
78-88-6,"Dichloropropene, 2,3-",0,0,0,0,0,0
62-73-7,Dichlorvos,0,0,0,0,0,0
77-73-6,Dicyclopentadiene,0,0,0,0,0,0
60-57-1,Dieldrin,2,7,9,40,9,40
0-02-4,Diesel exhaust particulate,0,0,0,0,0,0
111-42-2,Diethanolamine,0,0,0,0,0,0
112-34-5,Diethylene Glycol Monobutyl Ether,0,0,0,0,0,0
111-90-0,Diethylene Glycol Monoethyl Ether,0,0,0,0,0,0
75-37-6,"Difluoroethane, 1,1-",0,0,0,0,0,0
108-20-3,Diisopropyl Ether,0,0,0,0,0,0
60-11-7,Dimethyl aminoazobenzene,0,0,0,0,0,0
68-12-2,Dimethyl formamide,0,0,0,0,0,0
108-01-0,"Dimethylamino ethanol, 2-",0,0,0,0,0,0
57-97-6,"Dimethylbenz[a]anthracene, 7,12-",0,0.37,0,0.54,0,160
57-14-7,"Dimethylhydrazine, 1,1-",0,0,0,0,0,0
42397-64-8,"Dinitropyrene, 1,6- (BaP)",0,0,0,0,0,0
42397-65-9,"Dinitropyrene, 1,8- (BaP)",0,0,0,0,0,0
121-14-2,"Dinitrotoluene, 2,4-",0,0,0,0,0,0
123-91-1,"Dioxane, 1,4- (1,4-Diethylene dioxide)",0,0,0,0,0,0
122-66-7,"Diphenylhydrazine, 1,2-",0,0,0,0,0,0
106-89-8,"Epichlorohydrin (l-Chloro-2,3-epoxypropane)",0,0,0,0,0,0
106-88-7,"Epoxybutane, 1,2-",0,0,0,0,0,0
110-80-5,"Ethoxyethanol, 2- (ethylene glycol monoethyl ether)",0,0,0,0,0,0
141-78-6,Ethyl acetate,0,0,0,0,0,0
140-88-5,Ethyl Acrylate,0,0,0,0,0,0
100-41-4,Ethyl benzene,0,0,0,0,0,0
51-79-6,Ethyl carbamate (Urethane),0,0,0,0,0,0
75-00-3,Ethyl chloride (Chloroethane),0,0,0,0,0,0
97-63-2,Ethyl Methacrylate,0,0,0,0,0,0
106-93-4,Ethylene dibromide (Dibromoethane),0,0,0,0,0,0
107-06-2,"Ethylene dichloride (1,2-Dichloroethane)",0,0,0,0,0,0
107-21-1,Ethylene glycol,0,0,0,0,0,0
75-21-8,Ethylene oxide,0,0,0,0,0,0
96-45-7,Ethylene thiourea,0,0,0,0,0,0
75-34-3,"Ethylidene dichloride (1,1-Dichloroethane)",0,0,0,0,0,0
206-44-0,Fluoranthene,0,0,0,0,0,0
FLUORIDES,Fluorides (except hydrogen fluoride),0,0,0,0,0,0
50-00-0,Formaldehyde,0,0,0,0,0,0
64-18-6,Formic Acid,0,0,0,0,0,0
111-30-8,Glutaraldehyde,0,0,0,0,0,0
0-01-2,Glycol ethers,0,0,0,0,0,0
76-44-8,Heptachlor,0,0,0,0,0,0
1024-57-3,Heptachlor epoxide,1,0,30,20,30,20
35822-46-9,"Heptachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8-",3,0.16,4,0.23,90,6
00-08-5,"Heptachlorodibenzodioxin, All Isomers",3,0.16,4,0.23,90,6
67562-39-4,"Heptachlorodibenzofuran, 1,2,3,4,6,7,8-",4.4,0.25,6,0.35,420,30
55673-89-7,"Heptachlorodibenzofuran, 1,2,3,4,7,8,9-",10,0.66,20,0.96,2160,130
00-08-4,"Heptachlorodibenzofuran, All Isomers",10,0.66,20,0.96,2160,130
142-82-5,"Heptane, N",3,0.16,4,0.23,90,6
118-74-1,Hexachlorobenzene,0,0,0,0,0,0
87-68-3,Hexachlorobutadiene,0,0,0,0,0,0
608-73-1,Hexachlorocyclohexane (technical grade),0,0,0,0,0,0
319-84-6,"Hexachlorocyclohexane, alpha-",0,0,0,0,0,0
319-85-7,"Hexachlorocyclohexane, beta-1,2,3,4,5,6-",0,0,0,0,0,0
77-47-4,Hexachlorocyclopentadiene,0,0,0,0,0,0
39227-28-6,"Hexachlorodibenzo-p-dioxin, 1,2,3,4,7,8-",4.7,0.28,7,0.4,410,30
57653-85-7,"Hexachlorodibenzo-p-dioxin, 1,2,3,6,7,8-",6,0,9,0.02,790,2
19408-74-3,"Hexachlorodibenzo-p-dioxin, 1,2,3,7,8,9-",4.7,0.26,7,0.365,470,30
00-08-3,"Hexachlorodibenzodioxins, All Isomers",6,0.28,7,0.4,790,30
70648-26-9,"Hexachlorodibenzofuran, 1,2,3,4,7,8-",7,0.35,9,0.5,570,30
57117-44-9,"Hexachlorodibenzofuran, 1,2,3,6,7,8-",7.2,0.36,9,0.5,570,40
72918-21-9,"Hexachlorodibenzofuran, 1,2,3,7,8,9-",10,0.49,10,0.7,980,60
60851-34-5,"Hexachlorodibenzofuran, 2,3,4,6,7,8-",7.4,0.37,10,0.5,630,40
00-08-2,"Hexachlorodibenzofurans, All Isomers",10,0.49,10,0.7,980,60
67-72-1,Hexachloroethane,0,0,0,0,0,0
822-06-0,"Hexamethylene-1,6-diisocyanate",0,0,0,0,0,0
110-54-3,Hexane,0,0,0,0,0,0
104-76-7,"Hexanol, 1-,2-ethyl- (2-Ethyl-1-hexanol)",0,0,0,0,0,0
591-78-6,Hexanone-2,0,0,0,0,0,0
302-01-2,Hydrazine,0,0,0,0,0,0
10034-93-2,Hydrazine sulfate,0,0,0,0,0,0
7647-01-0,Hydrochloric acid (hydrogen chloride),0,0,0,0,0,0
74-90-8,Hydrogen cyanide,0,0,0,0,0,0
7664-39-3,Hydrogen fluoride (Hydrofluoric acid),0,0,0,0,0,0
7783-07-5,Hydrogen selenide,0,0,0,0,0,0
7783-06-4,Hydrogen sulfide,0,0,0,0,0,0
193-39-5,"Indeno(1,2,3-cd)pyrene",0,0.14,0,0.2,0,10
78-59-1,Isophorone,0,0,0,0,0,0
67-63-0,Isopropyl alcohol,0,0,0,0,0,0
7439-92-1,Lead,4.3,7.7,6.5,12,19,34
7758-97-6,Lead Chromate,4.3,7.7,6.5,12,19,34
LEAD-COMPS,Lead Compounds,4.3,7.7,6.5,12,19,34
58-89-9,Lindane (all isomers),0,0,0,0,0,0
NA,m- and p-Xylenes,0,0,0,0,0,0
108-31-6,Maleic anhydride,0,0,0,0,0,0
7439-96-5,Manganese,0,0,0,0,0,0
MANGANESE-COMPS,Manganese Compounds,0,0,0,0,0,0
NA,Manganese Dioxide,0,0,0,0,0,0
7439-97-6,Mercury (elemental),0,0,0,0,0,0
MERCURY-COMPS,Mercury Compounds,0,0,0,0,0,0
126-98-7,Methacrylonitrile,0,0,0,0,0,0
67-56-1,Methanol,0,0,0,0,0,0
109-86-4,"Methoxyethanol, 2- (ethylene glycol monomethyl ether EGME)",0,0,0,0,0,0
96-33-3,Methyl acrylate,0,0,0,0,0,0
110-49-6,Methyl Cellosolve Acetate,0,0,0,0,0,0
74-87-3,Methyl chloride (Chloromethane),0,0,0,0,0,0
71-55-6,"Methyl chloroform (1,1,1-Trichloroethane)",0,0,0,0,0,0
78-93-3,Methyl ethyl ketone (2-Butanone),0,0,0,0,0,0
60-34-4,Methyl Hydrazine,0,0,0,0,0,0
108-10-1,Methyl isobutyl ketone (Hexone),0,0,0,0,0,0
624-83-9,Methyl isocyanate,0,0,0,0,0,0
80-62-6,Methyl methacrylate,0,0,0,0,0,0
1634-04-4,Methyl tert butyl ether,0,0,0,0,0,0
56-49-5,"Methylcholanthrene, 3-",0,0.17,0,0.24,0,40
3697-24-3,"Methylchrysene, 5-",0,0.39,0,0.6,0,200
101-14-4,"Methylene bis(2-chloroaniline), 4,4-",0,0,0,0,0,0
74-95-3,Methylene Bromide,0,0,0,0,0,0
75-09-2,Methylene chloride (Dichloromethane),0,0,0,0,0,0
101-68-8,Methylene diphenyl diisocyanate (MDI),0,0,0,0,0,0
101-77-9,"Methylenedianiline, 4,4-",0,0,0,0,0,0
90-94-8,Michler's ketone,0,0,0,0,0,0
10595-95-6,N- Nitrosomethylethylamine,0,0,0,0,0,0
924-16-3,N-Nitrosodi-n-butylamine,0,0,0,0,0,0
621-64-7,N-Nitrosodi-n-propylamine,0,0,0,0,0,0
55-18-5,N-Nitrosodiethylamine,0,0,0,0,0,0
62-75-9,N-Nitrosodimethylamine,0,0,0,0,0,0
86-30-6,N-Nitrosodiphenylamine,0,0,0,0,0,0
59-89-2,N-Nitrosomorpholine,0,0,0,0,0,0
100-75-4,N-Nitrosopiperidine,0,0,0,0,0,0
111-84-2,N-Nonane,0,0,0,0,0,0
64724-95-6,"Naphtha, High Flash Aromatic (HFAN)",0,0,0,0,0,0
91-20-3,Naphthalene,0,0,0,0,0,0
193-09-9,"Naphtho[2,3-e]pyrene",0,0,0,0,0,0
7440-02-0,Nickel,0,0,0,0,0,0
NICKEL-COMPS,Nickel Compounds,0,0,0,0,0,0
1313-99-1,Nickel oxide,0,0,0,0,0,0
0-02-5,Nickel refinery dust from the pyrometallurgical process,0,0,0,0,0,0
12035-72-2,Nickel sulfide (NI3S2),0,0,0,0,0,0
7697-37-2,Nitric acid,0,0,0,0,0,0
139-13-9,Nitrilotriacetic acid,0,0,0,0,0,0
18662-53-8,"Nitrilotriacetic acid, trisodium salt monohydrate",0,0,0,0,0,0
602-87-9,"Nitroacenaphthene, 5-",0,0,0,0,0,0
88-74-4,"Nitroaniline, 2-",0,0,0,0,0,0
100-01-6,"Nitroaniline, 4-",0,0,0,0,0,0
98-95-3,Nitrobenzene,0,0,0,0,0,0
7496-02-8,"Nitrochrysene, 6-",0,0,0,0,0,0
607-57-8,"Nitrofluorene, 2-",0,0,0,0,0,0
10102-44-0,Nitrogen dioxide (NO2),0,0,0,0,0,0
75-52-5,Nitromethane,0,0,0,0,0,0
79-46-9,"Nitropropane, 2-",0,0,0,0,0,0
5522-43-0,"Nitropyrene, 1-",0,0,0,0,0,0
57835-92-4,"Nitropyrene, 4-",0,0,0,0,0,0
156-10-5,"Nitrosodiphenylamine, p-",0,0,0,0,0,0
3268-87-9,"Octachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8,9-",4.3,0.18,4,0.26,120,6.8
39001-02-0,"Octachlorodibenzofuran, 1,2,3,4,6,7,8,9-",3.8,0.19,4,0.26,130,8.3
10028-15-6,Ozone,0,0,0,0,0,0
74472-37-0,"PCB 114 (2,3,4,4,5 Pentachlorobiphenyl)",0,3,0,3,0.1,30
31508-00-6,"PCB 118 (2,3,4,4,5 Pentachlorobiphenyl)",0,3,0,3,0.1,30
65510-44-3,"PCB 123 (2,3,4,4,5 Pentachlorobiphenyl)",0,3,0,3,0.1,30
57465-28-8,"PCB 126 (3,3,4,4,5 Pentachlorobiphenyl)",0,3,0,3,0.1,30
38380-0804,"PCB 156 (2,3,3,4,4,5 Hexachlorobiphenyl)",0,3,0,3,0.1,30
69782-90-7,"PCB 157 (2,3,3,4,4,5 Hexachlorobiphenyl)",0,3,0,3,0.1,30
52663-72-6,"PCB 167 (2,3,4,4,5,5 Hexachlorobiphenyl)",0,3,0,3,0.1,30
32774-16-6,"PCB 169 (3,3,4,4,5,5 Hexachlorobiphenyl)",0,3,0,3,0.1,30
39635-31-9,"PCB 189 (2,3,3,4,4,5,5 Heptachlorobiphenyl)",0,3,0,3,0.1,30
32598-13-3,"PCB 77 (3,3,4,4-Tetrachlorobiphenyl)",0,3,0,3,0.1,30
70362-50-4,"PCB 81 (3,4,4,5 Tetrachlorobiphenyl)",0,3,0,3,0.1,30
32598-14-4,"PCB105 (2,3,3,4,4 Pentachlorobiphenyl)",0,3,0,3,0.1,30
40321-76-4,"Pentachlorodibenzo-p-dioxin, 1,2,3,7,8-",20,0.79,22,1.1,2290,140
00-08-1,"Pentachlorodibenzodioxins, All Isomers",20,0.79,20,1.1,2290,140
57117-41-6,"Pentachlorodibenzofuran, 1,2,3,7,8-",260,1,310,1,20350,120
57117-31-4,"Pentachlorodibenzofuran, 2,3,4,7,8-",260,1,330,1.5,20000,120
00-09-0,"Pentachlorodibenzofurans, All Isomers",260,1,330,1.5,20350,120
87-86-5,Pentachlorophenol,0,0,0,0,0,0
109-66-0,"Pentane, n-",0,0,0,0,0,0
ALIPHATIC-C5-C8,"Petroleum Hydrocarbons, Aliphatic Low (C5 - C8)",0,0,0,0,0,0
ALIPHATIC-C9-C18,"Petroleum Hydrocarbons, Aliphatic Medium (C9 - C18)",0,0,0,0,0,0
AROMATIC-C6-C8,"Petroleum Hydrocarbons, Aromatic Low (C6 - C8; EC6-EC8)",0,0,0,0,0,0
AROMATIC-C9-C16,"Petroleum Hydrocarbons, Aromatic Medium (C9 - C16; EC9-EC21)",0,0,0,0,0,0
85-01-8,Phenanthrene,0,0,0,0,0,0
108-95-2,Phenol,0,0,0,0,0,0
75-44-5,Phosgene,0,0,0,0,0,0
7803-51-2,Phosphine,0,0,0,0,0,0
7664-38-2,Phosphoric acid,0,0,0,0,0,0
85-44-9,Phthalic anhydride,0,0,0,0,0,0
59536-65-1,Polybrominated Biphenyls,0,0,0,0,0,0
1336-36-3,Polychlorinated biphenyls (Aroclors unspeciated),0,3,0,3,0.1,30
00-08-0,"Polychlorinated Dibenzo-P-Dioxins And Furans, Total",260,1,330,2,20350,120
00-05-0,"Polychlorinated Dibenzodioxins, Total",50,2,60,3,3420,200
00-05-1,"Polychlorinated Dibenzofurans, Total",260,1,330,2,20350,120
130498-29-2,Polycyclic Aromatic Hydrocarbons (PAH),0,3,0,10,0,390
00-01-7,Polycyclic Organic Matter (POM),0,0,0,0,0,0
9016-87-9,Polymeric diphenylmethane diisocyanate,0,0,0,0,0,0
7758-01-2,Potassium bromate,0,0,0,0,0,0
1120-71-4,"Propane sultone, 1,3-",0,0,0,0,0,0
57-57-8,"Propiolactone, beta-",0,0,0,0,0,0
123-38-6,Propionaldehyde,0,0,0,0,0,0
115-07-1,Propylene,0,0,0,0,0,0
78-87-5,"Propylene dichloride (1,2-Dichloropropane)",0,0,0,0,0,0
107-98-2,Propylene Glycol Monomethyl Ether,0,0,0,0,0,0
75-56-9,Propylene oxide,0,0,0,0,0,0
930-55-2,"Pyrrolidine, 1-Nitroso-",0,0,0,0,0,0
7782-49-2,Selenium,0.09,0,0.2,0,4.31,0
0-01-9,Selenium Compounds,0,0,0,0,0,0
7631-86-9,"Silica (crystalline, respirable, PM4)",0,0,0,0,0,0
1310-73-2,Sodium hydroxide,0,0,0,0,0,0
10588-01-9,Sodium Dichromate,0,0,0,0,0,0.02
7789-06-2,Strontium chromate,0,0,0,0,0,0.02
100-42-5,Styrene,0,0,0,0,0,0
96-09-3,Styrene oxide,0,0,0,0,0,0
14808-79-8,Sulfates,0,0,0,0,0,0
126-33-0,Sulfolane,0,0,0,0,0,0
7446-09-5,Sulfur dioxide,0,0,0,0,0,0
7664-93-9,Sulfuric acid (aerosol forms only),0,0,0,0,0,0
8014-95-7,Sulfuric Acid mixture w. sulfur trioxide (oleum),0,0,0,0,0,0
00-09-1,"TCDD Eqivalents, 2,3,7,8-",50,2,60,3,3420,200
540-88-5,Tert-Butyl Acetate,0,0,0,0,0,0
1746-01-6,"Tetrachlorodibenzo-p-dioxin, 2,3,7,8-",50,2,60,3,3420,200
00-08-8,"Tetrachlorodibenzodioxins, All Isomers",50,2,60,3,3420,200
51207-31-9,"Tetrachlorodibenzofuran, 2,3,7,8-",120,4,130,6,4280,250
00-08-6,"Tetrachlorodibenzofurans, All Isomers",120,4,130,6,4280,250
630-20-6,"Tetrachloroethane, 1,1,1,2-",0,0,0,0,0,0
79-34-5,"Tetrachloroethane, 1,1,2,2-",0,0,0,0,0,0
127-18-4,Tetrachloroethylene (Perchloroethylene),0,0,0,0,0,0
811-97-2,"Tetrafluoroethane, 1,1,1,2-",0,0,0,0,0,0
109-99-9,Tetrahydrofuran,0,0,0,0,0,0
62-55-5,Thioacetamide,0,0,0,0,0,0
62-56-6,Thiourea,0,0,0,0,0,0
108-88-3,Toluene,0,0,0,0,0,0
584-84-9,"Toluene-2,4-diisocyanate",0,0,0,0,0,0
91-08-7,"Toluene-2,6-diisocyanate",0,0,0,0,0,0
95-80-7,"Toluene diamine, 2,4-",0,0,0,0,0,0
26471-62-5,Toluenediisocyanate (mixed isomers),0,0,0,0,0,0
95-53-4,"Toluidine, o- (Methylaniline, 2-)",0,0,0,0,0,0
8001-35-2,Toxaphene (chlorinated camphene),0,0,0,0,0,0
10061-02-6,"trans-1,3-Dichloropropene",0,0,0,0,0,0
120-82-1,"Trichlorobenzene, 1,2,4-",0,0,0,0,0,0
79-00-5,"Trichloroethane, 1,1,2-",0,0,0,0,0,0
79-01-6,Trichloroethylene (TCE),0,0,0,0,0,0
75-69-4,Trichlorofluoromethane (CFC-11),0,0,0,0,0,0
88-06-2,"Trichlorophenol, 2,4,6-",0,0,0,0,0,0
96-18-4,"Trichloropropane, 1,2,3-",0,0,0,0,0,0
96-19-5,"Trichloropropene, 1,2,3-",0,0,0,0,0,0
76-13-1,"Trichlorotrifluoroethane, 1,1,2- (CFC-13)",0,0,0,0,0,0
121-44-8,Triethylamine,0,0,0,0,0,0
420-46-2,"Trifluoroethane, 1,1,1-",0,0,0,0,0,0
526-73-8,"Trimethylbenzene, 1,2,3-",0,0,0,0,0,0
95-63-6,"Trimethylbenzene, 1,2,4-",0,0,0,0,0,0
108-67-8,"Trimethylbenzene, 1,3,5-",0,0,0,0,0,0
URANIUM-SOLUBLE,Uranium (Soluble Salts),0,0,0,0,0,0
7440-61-1,"Uranium, Insoluble Compounds",0,0,0,0,0,0
7440-62-2,Vanadium and Compounds,0,0,0,0,0,0
1314-62-1,"Vanadium Pentoxide, (V2O5)",0,0,0,0,0,0
108-05-4,Vinyl acetate,0,0,0,0,0,0
593-60-2,Vinyl bromide,0,0,0,0,0,0
75-01-4,Vinyl chloride,0,0,0,0,0,0
1330-20-7,Xylenes,0,0,0,0,0,0
108-38-3,"Xylenes, m-",0,0,0,0,0,0
95-47-6,"Xylenes, o-",0,0,0,0,0,0
106-42-3,"Xylenes, p-",0,0,0,0,0,0
13530-65-9,Zinc chromate,0,0,0,0,0,0.02
