CAS,chemical_name,early_life_adjustment_needed,toxicity_value_source,notes
1024-57-3,Heptachlor epoxide,Yes,IRIS,Updated prior to 2005
118-74-1,Hexachlorobenzene,Yes,IRIS,Updated prior to 2005
87-68-3,Hexachlorobutadiene,Yes,IRIS,Updated prior to 2005
608-73-1,Hexachlorocyclohexane (technical grade),Yes,IRIS,Updated prior to 2005
319-84-6,"Hexachlorocyclohexane, alpha-",Yes,IRIS,Updated prior to 2005
319-85-7,"Hexachlorocyclohexane, beta-1,2,3,4,5,6-",Yes,IRIS,Updated prior to 2005
302-01-2,Hydrazine,Yes,HRV,Updated prior to 2008
10034-93-2,Hydrazine sulfate,Yes,HRV,Updated prior to 2008
7439-92-1,Lead,Yes,CAL EPA,Toxicity values not based on a lifetime exposure.
7758-97-6,Lead Chromate,Yes,HRV,EPA determined mutagen
LEAD-COMPS,Lead Compounds,Yes,CAL EPA,Toxicity values not based on a lifetime exposure.
58-89-9,Lindane (all isomers),Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
1634-04-4,Methyl tert butyl ether,Yes,CAL EPA,Toxicity values not based on a lifetime exposure.
101-14-4,"Methylene bis(2-chloroaniline), 4,4-",Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
101-77-9,"Methylenedianiline, 4,4-",Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
90-94-8,Michler's ketone,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
10595-95-6,N- Nitrosomethylethylamine,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
7440-02-0,Nickel,Yes,HRV,"Toxicity studies of worker exposures (not lifetime), Linear carcinogen (EPA IRIS documentation)"
NICKEL-COMPS,Nickel Compounds,Yes,HRV,"Toxicity studies of worker exposures (not lifetime), Linear carcinogen (EPA IRIS documentation)"
0-02-5,Nickel refinery dust from the pyrometallurgical process,Yes,IRIS,"Toxicity studies of worker exposures (not lifetime), Linear carcinogen (EPA IRIS documentation)"
12035-72-2,Nickel sulfide (NI3S2),Yes,HRV,"Toxicity studies of worker exposures (not lifetime), Linear carcinogen (EPA IRIS documentation)"
139-13-9,Nitrilotriacetic acid,Yes,CALEPA,Updated prior to 2005
18662-53-8,"Nitrilotriacetic acid, trisodium salt monohydrate",Yes,CALEPA,Updated prior to 2005
156-10-5,"Nitrosodiphenylamine, p-",Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
55-18-5,N-Nitrosodiethylamine,Yes,IRIS,Updated prior to 2005
62-75-9,N-Nitrosodimethylamine,Yes,IRIS,Updated prior to 2005
924-16-3,N-Nitrosodi-n-butylamine,Yes,IRIS,Updated prior to 2005
621-64-7,N-Nitrosodi-n-propylamine,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
86-30-6,N-Nitrosodiphenylamine,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
59-89-2,N-Nitrosomorpholine,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
100-75-4,N-Nitrosopiperidine,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
74472-37-0,"PCB 114 (2,3,4,4,5 Pentachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
31508-00-6,"PCB 118 (2,3,4,4,5 Pentachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
65510-44-3,"PCB 123 (2,3,4,4,5 Pentachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
57465-28-8,"PCB 126 (3,3,4,4,5 Pentachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
38380-0804,"PCB 156 (2,3,3,4,4,5 Hexachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
69782-90-7,"PCB 157 (2,3,3,4,4,5 Hexachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
52663-72-6,"PCB 167 (2,3,4,4,5,5 Hexachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
32774-16-6,"PCB 169 (3,3,4,4,5,5 Hexachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
39635-31-9,"PCB 189 (2,3,3,4,4,5,5 Heptachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
32598-13-3,"PCB 77 (3,3,4,4-Tetrachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
70362-50-4,"PCB 81 (3,4,4,5 Tetrachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
32598-14-4,"PCB105 (2,3,3,4,4 Pentachlorobiphenyl)",Yes,Cal EPA,Evidence of early life sensitivity and exposures
87-86-5,Pentachlorophenol,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
AROMATIC-C6-C8,"Petroleum Hydrocarbons, Aromatic Low (C6 - C8; EC6-EC8)",Yes,MDH HRV,Benzene used as a surrogate.
59536-65-1,Polybrominated Biphenyls,Yes,CALEPA (1989),Updated prior to 2005
1336-36-3,Polychlorinated biphenyls (Aroclors unspeciated),Yes,IRIS,Evidence of early life sensitivity and exposures
7758-01-2,Potassium bromate,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
1120-71-4,"Propane sultone, 1,3-",Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
57-57-8,"Propiolactone, beta-",Yes,CALEPA (1992),Updated prior to 2005
75-56-9,Propylene oxide,Yes,HRV,Updated prior to 2008
930-55-2,"Pyrrolidine, 1-Nitroso-",Yes,IRIS,Updated prior to 2005
96-09-3,Styrene oxide,Yes,CALEPA (1992),Updated prior to 2005
630-20-6,"Tetrachloroethane, 1,1,1,2-",Yes,IRIS,Updated prior to 2005
62-55-5,Thioacetamide,Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
62-56-6,Thiourea,Yes,CALEPA (1992),Updated prior to 2005
95-80-7,"Toluene diamine, 2,4-",Yes,CAL EPA,Toxicity value based on less than a lifetime exposure.
95-53-4,"Toluidine, o- (Methylaniline, 2-)",Yes,CALEPA (1992),Updated prior to 2005
8001-35-2,Toxaphene (chlorinated camphene),Yes,IRIS,Updated prior to 2005
10061-02-6,"trans-1,3-Dichloropropene",Yes,IRIS (2000),Updated prior to 2005
79-00-5,"Trichloroethane, 1,1,2-",Yes,IRIS,Updated prior to 2005
88-06-2,"Trichlorophenol, 2,4,6-",Yes,IRIS,Updated prior to 2005
1314-62-1,"Vanadium Pentoxide, (V2O5)",Yes,PPRTV,Some evidence of mutagenicity.
13530-65-9,Zinc chromate,Yes,HRV,"Exposure study was occupational, adults, mutagenic studies inconclusive. (IRIS documentation)"
